P187S6cM4_X	P187S6cM4_Y
0.757	0.03084
0.758	0.030844
0.759	0.030847
0.76	0.030851999999999997
0.761	0.030854999999999997
0.762	0.030858999999999998
0.763	0.030861999999999997
0.764	0.030868
0.765	0.030871
0.766	0.030874
0.767	0.030876999999999998
0.768	0.030882
0.769	0.030885
0.77	0.030889
0.771	0.030892
0.772	0.030896
0.773	0.030899
0.7739999999999999	0.030902
0.7749999999999999	0.030906
0.7759999999999999	0.03091
0.7769999999999999	0.030913999999999997
0.7779999999999999	0.030917
0.7789999999999999	0.030920999999999997
0.7799999999999999	0.030924
0.7809999999999999	0.030928999999999998
0.7819999999999999	0.030931999999999998
0.7829999999999999	0.030935999999999998
0.7839999999999999	0.030938999999999998
0.7849999999999999	0.030943
0.7859999999999999	0.030945999999999998
0.7869999999999999	0.030948999999999997
0.7879999999999999	0.030952999999999998
0.7889999999999999	0.030955999999999997
0.7899999999999999	0.030959999999999998
0.7909999999999999	0.030962999999999997
0.7919999999999999	0.030966999999999998
0.7929999999999999	0.030969999999999998
0.7939999999999999	0.030972999999999997
0.7949999999999999	0.030976999999999998
