Perfect_X	Perfect_Y	D62_X	D62_Y	D72_X	D72_Y	P187_X	P187_Y	P212_X	P212_Y	P387_X	P387_Y
		0.24	0.130957	0.24	0.154733	0.24	0.023551	0.24	0.026034	0.24	0.034402
		0.241	0.131282	0.241	0.155165	0.241	0.023568	0.241	0.026066	0.241	0.034441
		0.242	0.131605	0.242	0.15559	0.242	0.023586	0.242	0.026098	0.242	0.034481
		0.243	0.131924	0.243	0.156021	0.243	0.023606	0.243	0.026132	0.243	0.034519
		0.244	0.132247	0.244	0.156449	0.244	0.023619	0.244	0.026162	0.244	0.034558
		0.245	0.132564	0.245	0.156872	0.245	0.023636	0.245	0.026194	0.245	0.034597
		0.246	0.132884	0.246	0.157298	0.246	0.023654	0.246	0.026225	0.246	0.034635
		0.247	0.133201	0.247	0.157723	0.247	0.023671	0.247	0.026255	0.247	0.034675
		0.248	0.133514	0.248	0.158145	0.248	0.023691	0.248	0.026286	0.248	0.034711
		0.249	0.133829	0.249	0.158566	0.249	0.023706	0.249	0.026317	0.249	0.034749
		0.25	0.13415	0.25	0.158988	0.25	0.023722	0.25	0.026348	0.25	0.034788
		0.251	0.134462	0.251	0.159408	0.251	0.023738	0.251	0.026382	0.251	0.034826
		0.252	0.134775	0.252	0.159828	0.252	0.023756	0.252	0.026412	0.252	0.034862
		0.253	0.13509	0.253	0.160245	0.253	0.023771	0.253	0.026441	0.253	0.0349
		0.254	0.135398	0.254	0.160662	0.254	0.023789	0.254	0.026471	0.254	0.034935
		0.255	0.135707	0.255	0.161078	0.255	0.023806	0.255	0.0265	0.255	0.034973
		0.256	0.136015	0.256	0.161492	0.256	0.02382	0.256	0.026531	0.256	0.035008
		0.257	0.136328	0.257	0.161904	0.257	0.02384	0.257	0.02656	0.257	0.035044
		0.258	0.136634	0.258	0.162315	0.258	0.023853	0.258	0.026591	0.258	0.03508
		0.259	0.136939	0.259	0.162728	0.259	0.023868	0.259	0.026618	0.259	0.035119
		0.26	0.137244	0.26	0.163138	0.26	0.023885	0.26	0.02665	0.26	0.035154
		0.261	0.137547	0.261	0.163547	0.261	0.0239	0.261	0.02668	0.261	0.035189
		0.262	0.137853	0.262	0.163954	0.262	0.023914	0.262	0.026711	0.262	0.035223
		0.263	0.138154	0.263	0.164363	0.263	0.023932	0.263	0.026738	0.263	0.035258
		0.264	0.138459	0.264	0.164771	0.264	0.023946	0.264	0.026766	0.264	0.035294
		0.265	0.138757	0.265	0.165175	0.265	0.023961	0.265	0.026795	0.265	0.035329
		0.266	0.139056	0.266	0.165578	0.266	0.023978	0.266	0.026826	0.266	0.035364
		0.267	0.139357	0.267	0.165983	0.267	0.023992	0.267	0.026851	0.267	0.035399
		0.268	0.139654	0.268	0.166384	0.268	0.024006	0.268	0.026881	0.268	0.035433
		0.269	0.139955	0.269	0.166787	0.269	0.024021	0.269	0.026908	0.269	0.035467
